MultiClass,Accuracy,F1
733961.0259462094,0.46552796624299403,0.48501683598697237
733960.3430081186,0.4669676409855199,0.486093793317233
733959.870204825,0.46712956431402225,0.48625949795380674
733959.4499352307,0.46721934358527106,0.48639237040621264
733958.5043286434,0.46775962241403635,0.4869559471838678
733958.1365927483,0.4679039105285434,0.48714749936936563
733957.716323154,0.46930991804435096,0.48844942631630267
733957.1909861611,0.4696497967140787,0.4888914459663588
733956.7707165668,0.46984538726929936,0.4890695256994796
733955.720042581,0.46987745129474534,0.4891439944727221
733954.9320370917,0.47050269979094256,0.4896657151154045
733954.1965653016,0.47051873180366555,0.48973450931997015
733953.3034924136,0.47160890866882993,0.49067576060028767
733952.7256217215,0.47161852787646374,0.49070910570403825
733952.0952173299,0.47177403839987686,0.4908113525453809
733951.5173466378,0.47187664328130413,0.49093839803538125
733951.2546781413,0.4719103105080224,0.49099000346735916
733951.0970770435,0.47198726416909287,0.4910701696238225
733950.3616052534,0.4721443778937783,0.49123094193807537
733949.6786671625,0.47234317485154353,0.49146133230997274
733949.3109312676,0.47233996844899895,0.4915489879711918
733948.7330605753,0.4724746373558722,0.4916108532005672
733948.3653246803,0.4726413702881915,0.4917983568005583
733947.577319191,0.47261732226910697,0.4917943722164296
733946.9469147995,0.4726413702881915,0.4918005432579227
733946.6317126037,0.4728193256294168,0.49196251673813723
733945.42343752,0.47283696084341215,0.49197416591525905
733945.055701625,0.47282734163577833,0.49202555012434224
733944.4778309328,0.4729860585617361,0.49217077055279673
733943.8474265413,0.4730405674049943,0.49221241867273247
733943.059421052,0.47323776116148725,0.49244757363169517
733942.5340840591,0.4730678218266234,0.492319668580249
733942.0612807655,0.47294277212738395,0.49224555376678647
733941.3258089754,0.47291231130321026,0.492216686638929
733940.7479382831,0.47297964575664686,0.4922655999776519
733940.2751349895,0.4730742346317126,0.49237969803607295
733940.0650001924,0.47317202990932294,0.49248296926430996
733939.1193936052,0.4731784427144121,0.4924934878992203
733938.3839218151,0.473284253998384,0.4925996856073686
733938.01618592,0.47350389257268916,0.4928481470913079
733937.1756467314,0.47346862214469854,0.4928085064013679
733936.0724390463,0.47348144775487694,0.4928099945228234
733935.126832459,0.473561607818492,0.49287873426540907
733934.8641639627,0.4739495825263887,0.49317834183789633
733934.3913606689,0.4740089009734638,0.49326141675815804
733934.2862932704,0.4740040913696469,0.49326880236025905
733933.6558888789,0.4739944721620131,0.4932543312349543
733933.1830855852,0.47409387064089575,0.4933148360252454
733932.9729507881,0.4742638099757596,0.4934724797753145
733932.6052148931,0.4742333491515859,0.49340686564623376
733932.395080096,0.4743327476304685,0.49350489707113077
733931.502007208,0.47446581333606946,0.4935670509217963
733930.9766702151,0.47451711577678307,0.4936347798758898
733930.2937321243,0.4745587990098629,0.4936595106135315
733929.87346253,0.4746197206582103,0.4937369708182769
733929.348125537,0.4745764342238582,0.4936999757001063
733928.5075863485,0.474618117456938,0.4937343475552126
733928.1923841527,0.4746533878849286,0.4937709461789564
733927.5094460619,0.47470148392309763,0.49381094326215996
733927.0366427683,0.47473835755236055,0.4938273126981403
733926.616373174,0.47480408880452485,0.4939038278830528
733926.1961035796,0.47480088240198026,0.4938796583852623
733925.4606317895,0.47482813682360936,0.4939199668714769
733924.6726263002,0.47485218484269387,0.49391820502839257
733924.094755608,0.4748634072516,0.493942391010313
733923.6219523144,0.4748778360630507,0.4939345940418224
733923.1491490208,0.4749355513088535,0.49399105372484947
733922.7288794265,0.4749387577113981,0.49393064852360447
733921.9934076364,0.4753603996460132,0.4944814268399391
733921.6782054406,0.4753876540676423,0.49450393445355556
733920.6275314548,0.475269017173492,0.4943744167327142
733920.0496607627,0.47528504918621506,0.4943943070604219
733919.8395259654,0.4752930651925765,0.49441263687938986
733919.4192563711,0.47532673241929485,0.49443197239188436
733918.9989867768,0.47536681245110235,0.4944733552903265
733918.1584475881,0.47534116123074555,0.4944493389597423
733917.6331105953,0.4753603996460132,0.4944806818540716
733916.9501725044,0.47536360604855776,0.49450377084321456
733916.319768113,0.4753603996460132,0.49449258558508574
733915.6893637215,0.47559286383049676,0.49472820167040843
733914.9538919315,0.47559286383049676,0.49472875339784744
733914.6386897357,0.47558003822031836,0.4947097995797064
733914.3234875399,0.4754630045274404,0.4946293446665074
733913.8506842463,0.4754998781567033,0.49465106955429056
733913.5354820505,0.475498274955431,0.49465536816836475
733912.8000102605,0.47554316459105545,0.4946911565565756
733912.1170721697,0.47592152009131833,0.4949918468396242
733911.801869974,0.47592472649386297,0.4950027445283761
733910.8562633868,0.47593915530531367,0.49502464576769367
733909.7530557016,0.47595679051930895,0.4950623308251185
733909.4378535058,0.4759487745129475,0.49506200888336405
733909.2277187087,0.47593274250022444,0.49505648667894125
733908.5973143172,0.476036950582924,0.49514286148096687
733908.1245110236,0.47600809296002256,0.49511858934539793
733907.4941066321,0.47605939540073616,0.4951370688767325
733907.2839718349,0.47627903397504134,0.4952749602572623
733906.758634842,0.4763431620259334,0.49536070626877726
733906.4434326463,0.4763110980004874,0.4953377619881976
733906.0231630519,0.47631751080557655,0.49535555963076766
733905.287691262,0.4763479716297503,0.49538286580098834
733904.6572868704,0.4763864484602855,0.49541048491361683
733904.2370172761,0.4763896548628301,0.4954320175554658
733903.5540791854,0.4764056868755531,0.495457795731687
733903.3964780874,0.4764217188882761,0.4954477104296945
733902.7135399967,0.47641049647937,0.4954306590936299
733902.4508715002,0.4763752260513794,0.49540042556206587
733901.9780682066,0.4763928612653747,0.49542688520899825
733901.5577986123,0.4763511780322949,0.49538537144131684
733901.3476638151,0.4764521797124498,0.49548107261819524
733900.8223268222,0.4764409573035437,0.4954914395181192
733900.3495235286,0.47646660852390055,0.495510986017969
733899.2463158434,0.4764714181277174,0.49550509284203603
733898.9311136478,0.47646821172517284,0.4954911605961684
733898.5633777527,0.4764650053226282,0.4954860156643869
733897.9329733612,0.47646821172517284,0.49550013819751576
733897.4601700676,0.4765531813926048,0.49557547704105964
733896.7246982775,0.47676320075927614,0.4957855332826399
733896.3044286832,0.47678724877836065,0.49581179818862947
733895.6214905924,0.47679045518090524,0.4958203877796415
733895.1486872988,0.47676159755800385,0.49576656541164754
733894.5708166066,0.47676480396054843,0.495774940525984
733893.6252100194,0.47695718811322446,0.49599130602226976
733892.7321371314,0.4769619977170414,0.4960041511397543
733892.4694686349,0.4768866472572433,0.49593052489371936
