iter	TotalF1	MultiClassOneVsAll
94	0.9930830544	-31.03749233
95	0.9920720901	-30.7676562
96	0.9938110181	-30.4068058
97	0.9907034934	-29.99438614
98	0.9899229901	-29.96703502
99	0.9947004766	-29.45262813
100	0.9925821512	-29.23146028
101	0.99334555	-29.03181992
102	0.9930503194	-28.7134456
103	0.9901253714	-28.57615667
104	0.9901268066	-28.32569289
105	0.9953385694	-27.74273801
106	0.9931616022	-27.54093385
107	0.9949338506	-27.24362952
108	0.9954454862	-27.03176518
109	0.9950934735	-26.787821
110	0.9954839246	-26.64516376
111	0.9919786676	-26.57284537
112	0.9950280441	-26.31002319
113	0.9932730057	-26.08173083
114	0.9903652648	-25.96347819
115	0.9924195245	-25.77286814
116	0.9954164014	-25.45158417
117	0.9911379745	-25.58196973
118	0.995310425	-25.14678241
119	0.992877022	-25.06725279
120	0.994683786	-24.93636855
121	0.9957655613	-24.73116691
122	0.9935646311	-24.6799684
123	0.9926085395	-24.57608621
124	0.995398093	-24.29983238
125	0.992592946	-24.18440916
126	0.9959743989	-24.04699231
127	0.9955367419	-23.93554113
128	0.9959785436	-23.82856717
129	0.9959820859	-23.7467675
130	0.9960522843	-23.61341809
131	0.9960326404	-23.50052727
132	0.9902992061	-23.55545715
133	0.9952258368	-23.36247515
134	0.9941796297	-23.27395208
135	0.996120844	-23.07155601
136	0.9942308049	-22.99213263
137	0.9957351084	-22.88552074
138	0.9931414633	-22.85966348
139	0.9957505355	-22.60193425
140	0.9917863428	-22.53615933
141	0.9939255992	-22.49147392
142	0.9953196449	-22.31061834
143	0.9930924624	-22.30074896
144	0.9953341719	-22.16167348
145	0.9940210952	-22.09064081
146	0.9932927108	-21.99780963
147	0.9963242921	-21.88115492
148	0.9933303665	-21.94332639
149	0.9930274047	-21.80487534
150	0.995016408	-21.70887
151	0.9958136718	-21.60668547
152	0.9958250224	-21.51655363
153	0.9962952256	-21.38773563
154	0.9963163344	-21.32736372
155	0.9937284917	-21.24650069
156	0.9927370718	-21.27391901
157	0.9959503899	-21.09523808
158	0.9958762296	-21.01851404
159	0.9942042099	-20.90682219
160	0.9961204525	-20.80960921
161	0.9942597081	-20.70422666
162	0.9952987489	-20.68305258
163	0.9957000338	-20.55105826
164	0.996519274	-20.46390545
165	0.9965428002	-20.37807737
166	0.9960989502	-20.28783496
167	0.9945055563	-20.3100259
168	0.9937744082	-20.2392534
169	0.9959571434	-20.12787811
170	0.9925077411	-20.02348423
171	0.9964225965	-20.08843093
172	0.9964673185	-20.00123693
173	0.9942477402	-19.93447332
174	0.9960637634	-19.80657679
175	0.9965866291	-19.7482993
176	0.9961207561	-19.67322737
177	0.9943142676	-19.58203098
178	0.9960895504	-19.49586684
179	0.9965969218	-19.47325095
180	0.996190122	-19.41436421
181	0.9960236877	-19.35529318
182	0.9966412516	-19.28041856
183	0.9962198193	-19.2101339
184	0.9961976807	-19.17884761
185	0.9943451913	-19.08252139
186	0.9967066961	-18.95443839
187	0.9963050356	-18.86575054
188	0.9954675742	-18.84198987
189	0.996371321	-18.74254152
190	0.9961301044	-18.66166115
191	0.9962537062	-18.61915906
192	0.9963208686	-18.55038342
193	0.9896753067	-18.64608738
194	0.9937069201	-18.49542536
195	0.9955502528	-18.40699551
196	0.9968447971	-18.33975709
197	0.9968764721	-18.26669503
